Date,Price,Open,High,Low,Vol.,Change%,PriceBIST
08/11/2017,67.90,67.80,68.20,67.30,914.79K,-0.59%,107800.42
08/14/2017,67.75,68.05,68.40,67.30,607.79K,-0.22%,106963.10
08/15/2017,70.70,69.25,71.80,69.25,1.14M,4.35%,109537.36
08/16/2017,70.15,70.80,70.80,69.00,1.14M,-0.78%,106913.26
08/17/2017,70.50,70.20,70.60,69.50,678.00K,0.50%,106861.99
08/18/2017,74.10,70.20,74.25,70.05,1.18M,5.11%,106825.33
08/21/2017,74.05,74.00,74.75,72.10,1.36M,-0.07%,107202.43
08/22/2017,74.10,74.50,75.25,73.50,481.92K,0.07%,108614.87
08/23/2017,75.00,74.10,75.00,73.85,437.26K,1.21%,108594.45
08/24/2017,74.05,75.00,75.95,74.00,446.63K,-1.27%,108952.73
08/25/2017,75.80,74.05,75.85,73.95,612.45K,2.36%,109153.91
08/28/2017,75.85,75.90,76.00,75.20,254.53K,0.07%,109755.14
08/29/2017,76.45,75.55,76.45,75.25,674.10K,0.79%,110339.99
08/31/2017,76.50,76.50,76.70,75.90,392.05K,0.07%,110423.11
09/05/2017,75.95,76.10,76.45,75.45,703.62K,-0.72%,110010.49
09/06/2017,77.40,76.25,77.45,76.00,631.59K,1.91%,108872.99
09/07/2017,78.05,77.45,78.25,77.00,462.08K,0.84%,109611.79
09/08/2017,75.95,78.10,78.45,75.65,508.93K,-2.69%,109742.95
09/11/2017,75.80,76.50,77.65,75.75,728.73K,-0.20%,108451.70
09/12/2017,75.25,75.80,76.10,74.30,410.03K,-0.73%,109458.01
09/13/2017,75.25,74.90,75.70,74.55,491.86K,0.00%,109129.65
09/14/2017,74.40,75.25,75.45,74.05,383.17K,-1.13%,108155.53
09/15/2017,74.00,74.60,74.95,74.00,982.44K,-0.54%,108244.22
09/18/2017,75.40,74.25,76.45,74.00,650.40K,1.89%,107741.70
09/19/2017,75.35,75.30,75.85,74.95,476.07K,-0.07%,106534.60
09/20/2017,76.00,75.25,76.40,74.40,467.49K,0.86%,104917.77
09/21/2017,75.50,76.40,76.50,75.35,572.52K,-0.66%,105323.67
09/22/2017,76.60,75.70,76.60,74.90,474.61K,1.46%,104001.20
09/25/2017,75.80,76.10,76.75,75.45,501.58K,-1.04%,104122.85
09/26/2017,74.35,76.10,76.20,74.20,594.17K,-1.91%,102270.17
09/27/2017,73.25,74.25,74.50,72.05,730.45K,-1.48%,103929.33
09/28/2017,73.85,73.25,74.20,72.25,708.30K,0.82%,101218.30
09/29/2017,74.25,73.75,74.85,72.75,864.49K,0.54%,102651.10
10/02/2017,74.65,73.40,74.85,73.40,401.56K,0.54%,102907.73
10/03/2017,74.15,74.45,74.60,73.45,408.20K,-0.67%,103930.67
10/04/2017,74.05,73.80,74.40,73.45,439.27K,-0.13%,103907.57
10/05/2017,73.60,73.50,74.45,72.90,550.57K,-0.61%,104547.86
10/06/2017,73.25,73.55,73.55,72.85,394.57K,-0.48%,104334.31
10/09/2017,71.70,72.25,73.15,71.30,1.12M,-2.12%,104137.48
10/10/2017,72.05,71.85,73.00,71.25,870.71K,0.49%,101298.00
10/11/2017,74.40,71.75,74.45,71.60,962.77K,3.26%,103394.00
10/12/2017,75.40,75.10,75.40,73.50,623.55K,1.34%,103816.04
10/13/2017,75.95,75.20,76.00,74.20,663.87K,0.73%,105932.25
10/16/2017,75.75,75.85,76.00,74.95,777.84K,-0.26%,106225.69
10/17/2017,76.20,75.75,76.55,75.15,449.00K,0.59%,106474.46
10/18/2017,77.30,76.50,77.50,76.15,687.29K,1.44%,106990.87
10/19/2017,75.90,78.90,78.90,75.90,678.69K,-1.81%,106926.39
10/20/2017,77.10,76.00,77.10,76.00,517.08K,1.58%,108433.55
10/23/2017,77.10,76.80,77.50,76.35,519.22K,0.00%,108488.69
10/24/2017,75.60,76.50,76.95,75.60,544.58K,-1.95%,107303.25
10/25/2017,76.30,76.10,76.40,75.35,576.11K,0.93%,107206.31
10/26/2017,76.65,76.40,77.45,76.25,610.47K,0.46%,108354.83
10/27/2017,76.28,75.99,76.83,75.59,426.30K,-0.48%,107334.78
10/30/2017,76.93,76.83,76.98,76.08,301.35K,0.85%,107884.03
10/31/2017,76.78,77.42,77.42,76.28,570.25K,-0.19%,108466.78
11/01/2017,79.31,77.08,79.41,76.88,1.00M,3.30%,110142.60
11/02/2017,79.21,80.95,81.20,79.21,967.34K,-0.13%,113024.27
11/03/2017,78.96,79.51,79.61,77.62,706.65K,-0.32%,112994.86
11/06/2017,79.36,78.96,79.81,77.52,570.06K,0.51%,111292.78
11/07/2017,80.75,80.30,82.24,80.06,1.13M,1.75%,114165.67
11/08/2017,81.25,81.35,81.40,79.20,561.18K,0.62%,112271.86
11/09/2017,79.55,82.05,82.45,79.55,713.84K,-2.09%,111894.54
11/10/2017,78.75,79.70,80.20,78.15,733.35K,-1.01%,110246.46
11/13/2017,78.55,79.50,79.50,77.70,542.10K,-0.25%,108949.35
11/14/2017,78.15,78.55,79.20,78.00,524.38K,-0.51%,108859.62
11/15/2017,77.00,77.95,78.65,76.95,643.99K,-1.47%,110148.45
11/16/2017,77.05,77.50,78.15,76.85,658.94K,0.06%,107716.51
11/17/2017,77.25,78.00,78.10,77.00,386.50K,0.26%,106976.67
11/20/2017,75.75,78.05,78.05,75.45,744.56K,-1.94%,106239.46
11/21/2017,75.50,75.35,75.95,74.50,1.52M,-0.33%,103911.94
11/22/2017,74.55,75.80,75.85,74.10,1.23M,-1.26%,105267.80
11/23/2017,74.65,75.15,75.40,74.40,500.52K,0.13%,105963.60
11/24/2017,73.70,74.45,74.45,73.15,773.98K,-1.27%,105026.11
11/27/2017,73.00,73.60,73.95,72.50,899.99K,-0.95%,104539.41
11/28/2017,73.20,72.90,73.90,72.10,1.21M,0.27%,104759.74
11/29/2017,72.25,73.25,74.25,72.10,808.62K,-1.30%,102068.03
11/30/2017,72.35,72.65,72.95,72.05,1.25M,0.14%,102341.83
12/01/2017,73.65,71.90,73.80,71.65,975.94K,1.80%,103984.39
12/04/2017,72.85,73.50,73.55,72.70,622.01K,-1.09%,103558.98
12/05/2017,72.80,73.50,73.55,72.75,657.42K,-0.07%,105214.87
12/06/2017,73.20,72.50,73.30,72.35,812.70K,0.55%,106259.99
12/07/2017,72.60,73.35,73.35,72.60,659.14K,-0.82%,105303.94
12/08/2017,73.70,73.10,74.05,72.85,856.03K,1.52%,106447.54
12/11/2017,72.95,74.00,74.10,72.85,559.47K,-1.02%,107921.34
12/12/2017,74.70,72.95,74.80,72.80,1.47M,2.40%,109156.47
12/13/2017,74.40,75.00,75.30,73.75,674.74K,-0.40%,109049.50
12/14/2017,75.55,74.20,76.30,74.00,1.31M,1.55%,108153.16
12/15/2017,75.25,75.45,76.25,74.80,2.17M,-0.40%,109666.44
12/18/2017,74.90,75.25,75.80,74.90,543.19K,-0.47%,109330.17
12/19/2017,74.90,75.10,75.45,74.75,671.56K,0.00%,110247.89
12/20/2017,73.90,74.70,74.70,73.65,787.61K,-1.34%,110177.11
12/21/2017,77.10,73.90,77.10,73.65,892.49K,4.33%,110454.67
12/22/2017,76.25,77.15,77.40,76.15,298.66K,-1.10%,111271.95
12/25/2017,77.30,76.20,77.30,76.00,36.15K,1.38%,111099.47
12/26/2017,78.15,77.60,78.25,76.85,119.82K,1.10%,111765.00
12/27/2017,77.05,78.15,78.25,76.75,455.39K,-1.41%,112006.65
