Date,Price,Open,High,Low,Vol.,Change%,PriceBIST
10/23/2017,6.625,6.672,6.696,6.570,9.07M,-0.82%,108488.69
10/24/2017,6.790,6.633,6.790,6.617,19.86M,2.49%,107303.25
10/25/2017,6.877,6.814,6.893,6.790,14.97M,1.28%,107206.31
10/26/2017,6.751,6.869,6.885,6.743,9.39M,-1.83%,108354.83
10/27/2017,6.704,6.727,6.751,6.625,15.77M,-0.70%,107334.78
10/30/2017,6.743,6.735,6.798,6.688,7.39M,0.58%,107884.03
10/31/2017,7.011,6.727,7.011,6.719,17.96M,3.97%,108466.78
11/01/2017,7.263,7.011,7.287,6.932,15.17M,3.59%,110142.60
11/02/2017,7.271,7.294,7.357,7.208,10.63M,0.11%,113024.27
11/03/2017,7.223,7.263,7.397,7.168,11.95M,-0.66%,112994.86
11/06/2017,7.499,7.263,7.720,7.239,14.56M,3.82%,111292.78
11/07/2017,7.562,7.507,7.665,7.499,11.98M,0.84%,114165.67
11/08/2017,7.491,7.657,7.775,7.476,15.85M,-0.94%,112271.86
11/09/2017,7.736,7.570,7.767,7.554,15.54M,3.27%,111894.54
11/10/2017,7.609,7.743,7.743,7.586,10.78M,-1.64%,110246.46
11/13/2017,7.436,7.680,7.688,7.436,12.95M,-2.27%,108949.35
11/14/2017,7.373,7.420,7.476,7.231,17.07M,-0.85%,108859.62
11/15/2017,7.042,7.405,7.428,7.042,17.10M,-4.49%,110148.45
11/16/2017,6.963,7.066,7.153,6.948,25.89M,-1.12%,107716.51
11/17/2017,6.932,6.995,7.027,6.869,7.93M,-0.45%,106976.67
11/20/2017,6.901,6.940,6.971,6.743,12.77M,-0.45%,106239.46
11/21/2017,7.066,6.838,7.074,6.767,17.57M,2.39%,103911.94
11/22/2017,7.090,7.192,7.192,6.893,17.33M,0.34%,105267.80
11/23/2017,7.208,7.129,7.208,7.027,9.80M,1.66%,105963.60
11/24/2017,7.357,7.184,7.507,7.168,15.10M,2.07%,105026.11
11/27/2017,7.160,7.405,7.405,7.160,10.64M,-2.68%,104539.41
11/28/2017,6.798,7.145,7.263,6.798,13.19M,-5.06%,104759.74
11/29/2017,6.759,6.838,6.979,6.499,11.37M,-0.57%,102068.03
11/30/2017,6.782,6.822,6.908,6.704,20.24M,0.34%,102341.83
12/01/2017,6.617,6.798,6.838,6.617,11.12M,-2.43%,103984.39
12/04/2017,6.979,6.617,6.979,6.617,12.45M,5.47%,103558.98
12/05/2017,6.995,7.019,7.145,6.932,11.88M,0.23%,105214.87
12/06/2017,6.838,6.963,6.963,6.767,9.55M,-2.24%,106259.99
12/07/2017,7.058,6.885,7.145,6.869,12.54M,3.22%,105303.94
12/08/2017,7.042,7.082,7.160,7.003,8.89M,-0.23%,106447.54
12/11/2017,7.334,7.113,7.357,7.066,14.05M,4.15%,107921.34
12/12/2017,7.129,7.318,7.373,7.121,10.80M,-2.80%,109156.47
12/13/2017,7.113,7.153,7.302,7.034,13.40M,-0.22%,109049.50
12/14/2017,7.294,7.153,7.349,6.987,18.98M,2.54%,108153.16
12/15/2017,7.349,7.294,7.428,7.247,14.73M,0.75%,109666.44
12/18/2017,7.452,7.381,7.578,7.381,13.04M,1.40%,109330.17
12/19/2017,7.397,7.460,7.554,7.381,14.51M,-0.74%,110247.89
12/20/2017,7.578,7.405,7.594,7.342,15.74M,2.45%,110177.11
12/21/2017,7.460,7.594,7.641,7.460,10.62M,-1.56%,110454.67
12/22/2017,7.594,7.499,7.665,7.499,9.80M,1.80%,111271.95
12/25/2017,7.696,7.625,7.696,7.602,3.83M,1.34%,111099.47
12/26/2017,7.586,7.712,7.743,7.578,4.81M,-1.43%,111765.00
12/27/2017,7.633,7.609,7.696,7.531,5.80M,0.62%,112006.65
12/28/2017,7.783,7.673,7.806,7.657,9.53M,1.97%,112149.71
12/29/2017,7.893,7.806,7.917,7.775,11.42M,1.41%,114480.45
01/02/2018,8.090,7.980,8.090,7.940,8.86M,2.50%,115333.01
01/03/2018,8.019,8.106,8.334,7.917,13.68M,-0.88%,117524.20
01/04/2018,7.877,8.019,8.177,7.838,16.62M,-1.77%,116052.15
01/05/2018,7.964,7.932,8.003,7.901,10.61M,1.10%,115491.19
01/08/2018,7.838,8.035,8.059,7.838,11.95M,-1.58%,116637.94
01/09/2018,7.806,7.846,7.909,7.696,12.67M,-0.41%,116304.51
01/10/2018,7.641,7.798,7.822,7.625,16.29M,-2.11%,115022.81
01/11/2018,7.720,7.736,7.759,7.570,18.80M,1.03%,113589.45
01/12/2018,7.877,7.743,7.932,7.696,22.50M,2.03%,114718.80
01/15/2018,7.720,7.869,8.003,7.704,16.63M,-1.99%,114644.62
01/16/2018,7.877,7.680,7.909,7.657,12.68M,2.03%,112159.21
01/17/2018,8.003,7.885,8.003,7.783,13.72M,1.60%,114418.36
01/18/2018,7.917,8.011,8.035,7.885,13.28M,-1.07%,116592.51
01/19/2018,7.791,7.901,7.995,7.775,9.83M,-1.59%,116856.02
01/22/2018,7.988,7.814,7.995,7.814,12.29M,2.53%,115147.06
01/23/2018,7.901,8.027,8.051,7.893,15.63M,-1.09%,117235.47
01/24/2018,7.932,7.901,8.019,7.901,11.15M,0.39%,118400.06
01/25/2018,7.854,7.932,7.964,7.846,10.49M,-0.98%,119648.37
01/26/2018,7.932,7.869,7.956,7.869,10.52M,0.99%,118604.05
01/29/2018,7.885,7.980,7.988,7.838,15.38M,-0.59%,120701.92
01/30/2018,7.822,7.854,7.932,7.806,10.24M,-0.80%,120845.29
01/31/2018,7.838,7.846,7.901,7.830,13.34M,0.20%,119303.10
02/01/2018,8.066,7.909,8.074,7.901,33.53M,2.91%,119528.79
02/02/2018,7.909,8.098,8.137,7.846,24.02M,-1.95%,119044.38
02/05/2018,7.720,7.869,7.893,7.665,17.75M,-2.39%,118119.40
02/06/2018,7.767,7.523,7.814,7.460,14.29M,0.61%,116852.68
02/07/2018,7.673,7.814,7.830,7.673,15.24M,-1.21%,115457.30
02/08/2018,7.586,7.720,7.728,7.499,11.32M,-1.13%,115570.19
02/09/2018,7.633,7.499,7.743,7.444,10.43M,0.62%,114263.53
02/12/2018,7.602,7.688,7.743,7.602,9.90M,-0.41%,113590.27
02/13/2018,7.806,7.641,7.814,7.602,16.97M,2.68%,114821.60
02/14/2018,7.854,7.869,7.956,7.814,12.60M,0.61%,114494.50
02/15/2018,8.106,7.925,8.129,7.917,17.00M,3.21%,113454.95
02/16/2018,8.153,8.177,8.208,8.066,10.50M,0.58%,116225.60
02/19/2018,8.059,8.177,8.224,7.940,7.43M,-1.15%,116510.97
02/20/2018,8.043,8.090,8.279,8.003,11.12M,-0.20%,115881.96
02/21/2018,8.271,8.114,8.271,8.074,11.85M,2.83%,113432.85
02/22/2018,8.216,8.232,8.263,8.090,10.73M,-0.66%,116315.98
02/23/2018,8.484,8.255,8.531,8.240,15.61M,3.26%,116840.94
02/26/2018,8.484,8.531,8.578,8.318,11.50M,0.00%,117521.50
02/27/2018,8.586,8.492,8.697,8.492,12.56M,1.20%,118791.91
02/28/2018,8.949,8.586,9.004,8.515,25.20M,4.23%,118831.60
03/01/2018,8.744,8.909,8.949,8.728,14.43M,-2.29%,118950.76
03/02/2018,8.413,8.657,8.665,8.334,17.68M,-3.79%,117632.07
03/05/2018,8.492,8.413,8.633,8.310,9.12M,0.94%,116859.19
03/06/2018,8.460,8.570,8.649,8.326,9.53M,-0.38%,116946.22
03/07/2018,8.263,8.397,8.444,8.232,10.35M,-2.33%,116709.93
03/08/2018,8.366,8.271,8.381,8.263,8.73M,1.25%,116842.44
03/09/2018,8.555,8.366,8.578,8.310,7.75M,2.26%,116567.08
03/12/2018,8.547,8.602,8.783,8.515,7.93M,-0.09%,116914.52
03/13/2018,8.586,8.578,8.689,8.515,8.00M,0.46%,118411.44
03/14/2018,8.586,8.594,8.681,8.523,6.62M,0.00%,118266.86
03/15/2018,8.712,8.602,8.744,8.523,11.58M,1.47%,117592.67
03/16/2018,8.626,8.728,8.775,8.610,10.87M,-0.99%,117201.54
03/19/2018,8.476,8.626,8.641,8.437,6.29M,-1.74%,117216.28
03/20/2018,8.626,8.515,8.641,8.437,9.12M,1.77%,115450.26
03/21/2018,8.752,8.649,8.767,8.633,12.68M,1.46%,116431.78
03/22/2018,8.736,8.752,8.799,8.720,13.16M,-0.18%,117651.30
03/23/2018,8.523,8.618,8.626,8.413,23.09M,-2.44%,117110.25
03/26/2018,8.358,8.570,8.586,8.318,11.46M,-1.94%,116602.82
03/27/2018,8.405,8.460,8.492,8.326,10.60M,0.56%,116420.34
03/28/2018,8.137,8.366,8.429,8.114,11.47M,-3.19%,116196.54
03/29/2018,8.192,8.192,8.248,8.169,11.41M,0.68%,114129.30
03/30/2018,8.255,8.232,8.326,8.216,6.04M,0.77%,114844.56
04/02/2018,8.153,8.279,8.310,8.153,3.43M,-1.24%,114930.22
04/03/2018,8.350,8.169,8.397,8.169,12.04M,2.42%,114442.10
04/04/2018,8.334,8.389,8.397,8.216,10.55M,-0.19%,114594.06
04/05/2018,8.452,8.358,8.468,8.248,11.51M,1.42%,113975.62
04/06/2018,8.389,8.421,8.476,8.342,7.14M,-0.75%,114947.58
04/09/2018,8.192,8.429,8.452,8.161,10.35M,-2.35%,114737.54
04/10/2018,8.074,8.224,8.224,7.995,12.82M,-1.44%,113156.08
04/11/2018,8.224,8.019,8.240,7.743,15.86M,1.86%,110712.70
04/12/2018,8.429,8.192,8.437,8.121,14.43M,2.49%,109253.20
04/13/2018,8.531,8.444,8.563,8.381,12.52M,1.21%,110235.41
04/16/2018,8.500,8.539,8.563,8.444,6.94M,-0.36%,109604.01
04/17/2018,8.374,8.570,8.626,8.295,16.20M,-1.48%,110687.74
04/18/2018,8.665,8.374,8.665,8.240,17.30M,3.48%,108744.79
04/19/2018,8.846,8.673,8.925,8.610,14.20M,2.09%,112099.01
04/20/2018,8.980,8.815,8.996,8.760,10.66M,1.51%,112122.15
04/24/2018,8.901,8.996,8.996,8.744,12.03M,-0.88%,110932.48
04/25/2018,8.689,8.909,8.957,8.539,12.93M,-2.38%,110058.62
04/26/2018,8.744,8.712,8.760,8.563,11.13M,0.63%,107401.38
04/27/2018,8.381,8.649,8.649,8.374,11.92M,-4.15%,107015.13
